id,symbol,timeframe,rank,buy_fast,buy_slow,sell_fast,sell_slow,performance,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,date_from,date_to,timestamp
109,SPY,2m,83,172,252,42,67,0.004747695371470684,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
110,SPY,2m,84,172,252,72,107,0.004747695371470684,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
111,SPY,2m,85,172,252,77,107,0.004747695371470684,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
112,SPY,2m,86,172,252,82,107,0.004747695371470684,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
113,SPY,2m,87,172,252,122,132,0.004747695371470684,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
114,SPY,2m,88,167,252,82,87,0.004744878299402622,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
115,SPY,2m,89,82,127,242,252,0.004721632305722201,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
116,SPY,2m,90,82,127,247,252,0.004721632305722201,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
117,SPY,2m,91,172,252,52,62,0.0047157357145153345,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
118,SPY,2m,92,172,252,77,97,0.0047157357145153345,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
119,SPY,2m,93,172,252,27,67,0.004683776057559541,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
120,SPY,2m,94,172,252,32,67,0.004683776057559541,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
121,SPY,2m,95,172,252,52,87,0.004683776057559541,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
122,SPY,2m,96,172,252,57,87,0.004683776057559541,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
123,SPY,2m,97,172,252,237,242,0.004683776057559541,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
124,SPY,2m,98,172,252,62,107,0.00465181640060397,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
125,SPY,2m,99,167,252,17,27,0.0046490270374413,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
126,SPY,2m,100,167,252,22,67,0.0046490270374413,,,,,,2020-10-01,2020-10-03,2025-04-11T01:36:04.096788
427,SPY,2m,1,127,132,27,212,0.0019117506681940455,-0.008177067171182984,-2.0704984294275173,0.01219877767272223,2.0,0.0,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
428,SPY,2m,2,127,132,52,97,0.0019117506681940455,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
429,SPY,2m,3,127,132,52,177,0.0019117506681940455,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
430,SPY,2m,4,127,132,52,217,0.0019117506681940455,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
431,SPY,2m,5,127,132,77,187,0.0019117506681940455,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
432,SPY,2m,6,127,132,102,197,0.0019117506681940455,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
433,SPY,2m,7,127,132,102,227,0.0019117506681940455,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
